Incorrect Biword,Corrected Result,Edit Distance Sum
good .,good a,1
. Lectures,a Lectures,1
understandable .,understandable a,1
. Lecture,a Lecture,1
Lecture slides,Lecture sides,1
slides are,sides are,1
to self-study,to self study,1
self-study also,self study also,1
also .,also a,1
. The,a The,1
appreciative .,appreciative a,1
. ``,a of,3
`` Good,of Good,2
Good :,Good a,1
: ),a a,2
) <,a a,2
< br,a br,1
br /,br a,1
/ >,a a,2
> please,a please,1
do recap,do reap,1
recap at,reap at,1
it &,it a,1
& #,a a,2
# 039,a 39,2
039 ;,39 a,2
; s,a s,1
us .,us a,1
. <,a a,2
< br,a br,1
br /,br a,1
/ >,a a,2
> sometimes,a sometimes,1
high .,high a,1
. <,a a,2
< br,a br,1
br /,br a,1
/ >,a a,2
> <,a a,2
< br,a br,1
br /,br a,1
/ >,a a,2
> Thanks,a Thanks,1
Thanks !,Thanks a,1
! :,a a,2
: ),a a,2
) <,a a,2
< br,a br,1
br /,br a,1
/ >,a a,2
> ``,a of,3
`` The,of The,2
are good..but,are good but,3
good..but a,good but a,3
bit speed.A,bit speed,2
speed.A in,speed in,2
must one.So,must ones,2
one.So please,ones please,2
thursdays madame.,thursdays madame,1
madame. '',madame',2
'' <,' a,2
< br,a br,1
br /,br a,1
/ >,a a,2
> We,a We,1
teach .,teach a,1
. Presentation,a Presentation,1
Presentation slides,Presentation sides,1
slides also,sides also,1
refer .,refer a,1
. lf,a of,2
lf you,of you,1
well .,well a,1
. <,a a,2
< br,a br,1
br /,br a,1
/ >,a a,2
> '',a',2
'' Lectures,' Lectures,1
well structured,well structures,1
structured and,structures and,1
organized .,organized a,1
. It,a It,1
understand .,understand a,1
. Lecture,a Lecture,1
Lecture slides,Lecture sides,1
slides and,sides and,1
and labs,and laws,1
labs were,laws were,1
organized .,organized a,1
. Lectures,a Lectures,1
good .,good a,1
. understandable,a understandable,1
understandable .,understandable a,1
. The,a The,1
lecture slides,lecture sides,1
slides were,sides were,1
of OOP,of Top,1
OOP .,Top a,2
. Motivated,a Motivate,2
Motivated to,Motivate to,1
well .,well a,1
. Would,a Would,1
of coding,of coming,1
coding exercisers,coming exercises,2
exercisers .,exercises a,2
. I,a I,1
board .,board a,1
. When,a When,1
good coding,good coming,1
coding practices,coming practices,1
follow .,follow a,1
. There,a There,1
class .,class a,1
. madam,a madam,1
the oop,the top,1
oop concepts,top concepts,1
with examples.lectures,with examples lectures,2
examples.lectures were,examples lectures were,2
were interesting.we,were interesting we,2
interesting.we want,interesting we want,2
future .,future a,1
. I,a I,1
lectures .,lectures a,1
. That,a That,1
too .,too a,1
. lectuers,a lectures,2
lectuers are,lectures are,1
good .,good a,1
. take,a take,1
make undersatand,make understand,1
undersatand every,understand every,1
room .,room a,1
. very,a very,1
very helpfull,very helpful,1
helpfull .,helpful a,2
. I,a I,1
about OOP,about Top,1
OOP and,Top and,1
concepts .,concepts a,1
. ``,a of,3
`` lecture,of lecture,2
lecture slides,lecture sides,1
slides ,,sides a,2
, explanations,a explanations,1
clear .,clear a,1
. <,a a,2
< br,a br,1
br /,br a,1
/ >,a a,2
> it,a it,1
it &,it a,1
& #,a a,2
# 039,a 39,2
039 ;,39 a,2
; s,a s,1
examples .,examples a,1
. <,a a,2
< br,a br,1
br /,br a,1
/ >,a a,2
> sometimes,a sometimes,1
sometimes ,,sometimes a,1
, some,a some,1
back .,back a,1
. <,a a,2
< br,a br,1
br /,br a,1
/ >,a a,2
> overall,a overall,1
good !,good a,1
! !,a a,2
! !,a a,2
! <,a a,2
< br,a br,1
br /,br a,1
/ >,a a,2
> '',a',2
'' The,' The,1
clear .,clear a,1
. And,a And,1
they weren,they were,1
weren &,were a,2
& #,a a,2
# 039,a 39,2
039 ;,39 a,2
; t,a t,1
fast .,fast a,1
. Writing,a Writing,1
I didn,I did,1
didn &,did a,2
& #,a a,2
# 039,a 39,2
039 ;,39 a,2
; t,a t,1
know java,know cava,1
java before,cava before,1
before .,before a,1
. Actually,a Actually,1
the class.it,the classic,2
class.it will,classic will,2
well !,well a,1
! .,a a,2
. thankyou,a thank you,2
